text,labels
woman complain clean hous amp man alway take trash,1
boy dat cold tyga dwn bad cuffin dat hoe st place,0
dawg ever fuck bitch start cri confus shit,0
look like tranni,0
shit hear might true might faker bitch told ya,0
shit blow claim faith somebodi still fuck hoe,0
sit hate anoth bitch got much shit go,0
caus tire big bitch come us skinni girl,0
amp might get ya bitch back amp that,0
hobbi includ fight mariam bitch,0
keek bitch curv everyon lol walk convers like smh,0
murda gang bitch gang land,0
hoe smoke loser yea go ig,0
bad bitch thing like,0
bitch get,0
bitch nigga miss,0
bitch plz whatev,0
bitch love,0
bitch get cut everyday b,0
black bottl amp bad bitch,0
broke bitch cant tell noth,0
cancel bitch like nino,0
cant see hoe wont chang,0
fuck bitch dont even suck dick kermit video bout fuck ig,0
got ya bitch tip toe hardwood floor,0
pussi lip like heaven door,0
hoe hit,0
met pussi ocean dr gave pussi pill,0
need trippi bitch fuck hennessi,0
spend money want bitch busi,0
txt old bitch new bitch pussi wetter,0
say im back old old bitch would get excit,0
aint bout murder game pussi nigga shut,0
toe done pussi stink,0
im done bitter bitch wrap angri bird there app,0
ya bitch,0
aint noth cut bitch,0
ju meet son ya mane ass bitch shot,0
lame cri hoe that tear clown,0
like snoop said dont love hoe,0
momma said pussi cat insid doghous,1
hate hoe favorit mw sevenon,0
nice girl bad make get naughti bad yello hoe real nice bodi south chick like em real thick,0
pimp pimp hoe futur voic,0
post pictur pussi get like,0
pussi power drug happyhumpday,0
quick piec pussi call drive,0
run round like brand new pussi that bout get fuck,0
bitch even worst send guy,0
hoe like nigga spend money talk bout,0
dont trust nigga bitch,0
yall nigga b cuf hoe caus yall aint never bitch,0
dodg bullet da bitch cut pregnant bound thank god,0
young pill chamberlain bitch love music,0
teanna trump probabl cleaner twitter hoe,0
gay nigga wait act like bitch tonight,0
ima steal cat n replac pitbul bitch,0
amp gone alway hoe,0
son bitch took tic tac like movi,0
wanna get money fuck model bitch russel simmon,0
probabl mind school much deal bitch ass teacher retweet,0
fuck fag said,0
femal think date pussi cute stuff make pussi,0
simplyaddictedtoguy woof woof hot scalli lad,1
ya ever ask bitch bitch kany voic ye,0
u gone bring ur side bitch game know ya gf friend swear,0
woof woof hot sole,1
lemmi eat oreo amp dish one oreo lol,1
bitch fuck u mayb get better,0
fuck red malon man bitch ass niggah could pleas use complet sentenc,0
eggplant emoji doe say look like scream lmao,1
hennessey venom gt one sexi bitch,0
seh pussi wetter shower curtain ahmesehwet lt lmao,0
eaglesn everi eagl need see pic post bitch said racist shit,0
yo fuck skateboard wood push faggot man ball life,0
babi monkey bathtim awwww soooo ador,1
shit damn skippi lol,0
u ever kill ant sidewalk think damn nigga way get pussi bs must b gt chanc,0
ring mvp bitch lol,0
ppl talk bad ghetto hood kid grow nigga funnnnnnn,0
fact tattoo tattoo pussi tattoo nippl,0
bitch want act like nigga bad shit aint cuteeee nigga act like bitch,0
get worship bitch woof woof,0
wow lost buttcheek pierc yeah hoe,0
ok si rather broke bitch shrug tell work,0
queer gaywad,0
faggot read tweet dat k even funni lol,0
bitch ungrat fr lulwhor,0
kidnap yo bitch,0
alsarabsss he beaner smh tell he mexican,0
happi birthday nig thank yo,0
ur teacher tell u u homework bitch need go,0
nigga eat hoe lol hell yea lol john paul nigga said john paul,0
would lil ugli bald head bitch stop make make amp weav,0
leaf better win damn game go riot shit earlychristma better start loot nig,0
go back school suck dick hoe attend,0
way fuck yo bitch year old,0
come never bring food dont car retard,0
richnow show hella tinder hoe im friend anymor chill brought like like propl,0
bout cowboy shutup pussi,0
lmaooooooooooo nigga lt bitch want like depress shit foh,0
girl know spit g shit amp go lbv bitch plz,0
let make coupl tweet cuzzo page get twitter jail lmao bitch trick,0
harlem shake excus go full retard second,0
amen miley okay need act like hoe bc emot damag foh,0
one loyal femal wayyyyy better hoe idc,0
pussi lick pussi meow meow stopwhitepeopl,0
check th man cowboysn even faggot ny fan stand,0
happen vixen ent bitch got ran threw side like foothil bitch,0
im bitch okay nude pat wow,0
fuck gay blacklist hoe hold tehgodclan anyway,0
fuck wrong bitch nobodi know,0
yall shut p make bitch,0
hate pregnant type bitch,0
got bitch dm ever read em top,0
basebal season win yanke love start,1
littl stupid bitch fuck yoooooouuuu,0
realli ask dead ass seriou tho could say bitch wheet lol,0
earli bird night owl wise worm,1
overdos heavi drug sound bad tonight pussi shit everi day,1
pit bull photograph love fairi tale creatur fairi tale creatur,1
aw fag tweet aw lol,0
long laker trash could careless real cc hahaha,1
say anyth tho kiss faggot,0
play soccer cheat girl wear khaki colour cargo haircut yup,1
could go fat ass bitch lap,0
miss call da yo p bitch twitter finna screamn freemoneymel,0
ya side bitch gotta know rule shit anybodi ask cousin jersey thinkin bout move lmmfao,0
amo lo pie fuck yeah,0
hoe think meat slap ass ainna bruh,0
yall bitch wit edg talk,0
yall still go trick treat year nah hell yeah ima da sweet tooth bandit steal bitch bag n shit,0
wanna sex mom fuck right pussi came damn got hack like fuck,0
kiss u eye open watch bitch lmfao,0
woulda coulda shoulda ass hoe,0
happi bday bitch ass nigga preciat bitch roll,0
use send bitch,0
ugli bitch like wcw duh bitch nobodi els,0
nigga know hacki sack hoe nah throw look pass lmao,0
glad get outta atlanta noth bunch nigga amp outta jail amp dumb bitch mad kid fuckin em,0
ghetto smart idc,1
would wife hoe cuz care cheat forc relationship first place,0
singl excus hoe,0
white boy power bitch black power bitch,0
let get drunk get blow spit shit spark blunt amp fuck hoe bro white dude chill,0
bitch u around world back,0
get dick suck yo parti bad bitch fr gone set,0
oomf soooo cute probabl hoe lot,0
everi cartoon alway save hoe lmao lmao damn captain saveaho,0
want get nose bad boi scalli chav sockfetish stink hot sox leg,1
wish bitch like brother keezi ooooow bet,0
dress cat halloween basic pussi,0
pornhub get game stream featur dumb bitch gtfo get kati lt,0
stop scare choke sex u bitch ass nigga like say guy hit women bed foh,0
ha well iguess make hoe loyal bro theyll never loyal hoe nig,0
oh man molli ho fuck ya seed fix,0
man refer everi girl bitch,0
lmfao cat start beat shit nigga final got pussi nigga,0
peel peel bring back rewind back move shaq line ooooow tf said trash,1
io io alu record ho vine sai pe hahahaha lol anywaaaaaay haha,0
naw old tape new cover upcom mixtap kingofthehil yeah wait hoe mayn,0
ol dirti foot ass bitch funni,0
get yellow flag amaz hell yeah niggi,0
got time bitch actin iffi,0
ucfpinkparti come stay aliv knight nation still earli bird special comeatmeut,1
hoe loyal smfh amp wonder nobodi decent want,0
bruh stud keep think soft hell ask ya girl mani time scream bitch oh okay stfu bye hoe,0
dri pussi bitch alway blame condom,0
shut yo bitch ass,0
gucci mane jail drop mixtap everi month hoe even text back,0
love hoe money wat wrong nigga,0
loyal bitch burb without daddi issu like find holograph mewtwo sound like lol,0
easi cum easi hoe fact,0
charli sheen real major fuck respect charli sheen,0
wish bae got hoe tho,0
fuck twerk bitch cook,0
bitch wtf,0
shut zoe fight pussi zoe good man good move along,0
lmao fuck snake bitch em,0
big booti hoe everywher sheesh damn,0
stay tune updat report b week bum,1
play soccer cheat girl wear khaki colour cargo haircut ye lmfao,1
oregon choke everi year get field trash ass program rft,0
def cowboy lol terrel owen best eagl amp cowboy ever dude cri like bitch tv romo,0
lmfaoooo hate black peopl black peopl nigger,0
could u bitch potent,0
piss lad past would lick dirti sole slept,1
love frat boy w soft long sole,1
sexi lad hot sole arch,1
nah fam gotta cheat hoe depend femal feel,0
got hick lol,1
new twitter confus shit go back south america bitch,0
toto mean ass vagina think pussi caus toto santi like nasti pussi,0
actual choos ugli bitch ass must fat,0
bitch kill vibe ya tri di love miley,0
tire bitch say look mean nigga big af wear tight shirt grim everybodi,0
bird grandkid may never see thank climat chang climat,1
stay beauti bitch,0
wutkinda r purpl ceeelee man gurl ju playin stupid hoe track still shit sum gurl,0
money get taller bitch get blurri,0
never seen bitch obsess nigga obsess mine,0
kobe stay talk trash let forget meant one smh,0
least nigger lmfao,0
peopl alway ask mix bad asian bitch lol,0
ariza snake coward least crippl like hero roach lmaoo,0
foster home imaginari trash whoa chill show everyth tf,1
lowkey tire tire quiet go sleep hoe,0
stop bring weird nigger mention,0
love hoe,0
yo girl cant homeboy ol weak bitch ass nigga,0
think worst advic gave pussi speed lol,0
quot tweet favorit anim pussi,0
hate stripper tell dancer hoe ballet dancer pop pussi beethoven stripper,0
andrewbry poff doubl vision beer poff doubl pussi smh,0
bitch twerk comput ya ya damn,0
princ art nobodi takin bitch,0
welfar govern aid claim white peopl black slander trash,1
bitch care play role,0
took find hide lime tree di bitch da wrong tree bro,0
drake new shoe releas nike jordan ye glitter shoe dude fag,0
inna di ghetto alon lmaoo,1
hoe austin teach us austin teach u get curv know,1
bitch cook know suck dick one,0
fat hoe get chose lol,0
hoesaintloy well hoe one expect loyal,0
ol bitch ass,0
bruh im tire nigga retweetin miley cyru nake bitch aint type bad lmaooo,0
toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,0
holi shit freddi highmor charli chocol factori roll floor laugh,0
want sex gf feel like use anonym whata faggot,0
one follow somebodi bitch,0
ya bitch alway bitch clearli care annoy bitch,0
catfish hoe thinkin slick nigga catch,0
worri bitch worri bout real,0
side hoe insecur nigga handl real one,0
lmao bitch come scoot tent like fuck shit,0
cousin said share hoe brother said share care love brother,0
hungri ionn wanna spend money food broke hoe problem,0
dese hoe lyin us nigga,0
oh yeah fuck bitch,0
eli man threw nfl lead th intercept season lmao trash,1
